,name,latitude,longitude,population
587,Biała Podlaska,52.0338399,23.1193948,57658
588,Lugoj,45.6862542,21.9063162,49742
589,Skierniewice,51.9568581,20.1430044,48634
590,Radom,51.4022557,21.1541546,218466
591,Tarnobrzeg,50.5715277,21.6704871,48217
592,Siemianowice Śląskie,50.3052029,19.0275635,68844
593,Katowice,50.2598987,19.0215852,304362
594,Jaworzno,50.203439,19.2721559,93708
595,Częstochowa,50.8120466,19.113213,232318
596,Zabrze,50.3086154,18.7863749,178357
597,Wałbrzych,50.7659054,16.2825424,122927
598,Świętochłowice,50.2854551,18.9308513,51824
599,Ruda Śląska,50.2858001,18.8747933,141521
600,Trier,49.7596208,6.6441878,107233
601,Reutlingen,48.4919508,9.2114144,112099
602,Pyongyang,39.0194741,125.753388,3871335
603,Campinas,-22.90556,-47.06083,1144862
604,Osasco,-23.5324859,-46.7916801,692000
